Date/Time: 2017-12-04-15-23-36
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:D3:F6
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
1.02, 0.47, 3.54
2.02, 0.47, 3.54
3.02, 0.47, 3.54
4.03, 0.47, 3.54
5.03, 0.47, 3.54
6.04, 0.47, 3.54
7.05, 0.47, 3.54
8.05, 0.47, 3.54
9.06, 0.47, 3.54
10.06, 0.47, 3.54
11.06, 0.47, 3.54
12.07, 0.47, 3.54
13.07, 0.47, 3.54
14.08, 0.47, 3.54
15.08, 0.47, 3.54
16.09, 0.47, 3.54
17.09, 0.47, 3.54
18.10, 0.47, 3.54
19.11, 0.47, 3.54
20.11, 0.47, 3.54
21.11, 0.47, 3.54
22.12, 0.47, 3.54
23.13, 0.47, 3.54
24.14, 0.47, 3.54
25.14, 0.47, 3.54
26.15, 0.47, 3.54
